File Name,Result,Input Path,Indexless Input Path,Unmappable CDM Path Count,Unmappable CDM Paths,Reason For Failure
cdm-sample-files/fpml-5-10/record-keeping/products/commodity/Commodity-CFD-Energy-Oil-ex01-Cash.xml,Fail_MappedMultiple,trade.tradeHeader.partyTradeInformation(1).reportingRegime(2).exceedsClearingThreshold,trade.tradeHeader.partyTradeInformation.reportingRegime.exceedsClearingThreshold,2,ReportableEvent.reportableInformation.partyInformation(1).regimeInformation(3).fcaPartyInformation.exceedsClearingThreshold=[true] ReportableEvent.reportableInformation.partyInformation(1).regimeInformation(3).esmaPartyInformation.exceedsClearingThreshold=[true],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/record-keeping/products/commodity/Commodity-CFD-Energy-Oil-ex01-Cash.xml,Fail_MappedNone,quote(2).time,quote.time,0,,Element with value 2021-08-18T14:17:08Z could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/record-keeping/products/commodity/Commodity-CFD-Energy-Oil-ex01-Cash.xml,Fail_MappedNone,trade.tradeHeader.partyTradeInformation(1).reportingRegime(0).reportingPurpose,trade.tradeHeader.partyTradeInformation.reportingRegime.reportingPurpose,0,,Element with value Confirm could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/record-keeping/products/commodity/Commodity-CFD-Energy-Oil-ex01-Cash.xml,Success,trade.commoditySwap.floatingLeg[id=floatingLeg1].calculationPeriods[id=floatingLegCalculationPeriods1].unadjustedDate(5),trade.commoditySwap.floatingLeg[id=floatingLeg1].calculationPeriods[id=floatingLegCalculationPeriods1].unadjustedDate,1,ReportableEvent.originatingWorkflowStep.proposedEvent.instruction(0).before.value.trade.tradableProduct.product.contractualProduct.economicTerms.payout.commodityPayout(0).calculationPeriodDates.effectiveDate.adjustableDate.unadjustedDate=[2022-03-01],Element mapped to already populated field
cdm-sample-files/fpml-5-10/record-keeping/products/commodity/Commodity-CFD-Energy-Oil-ex01-Cash.xml,Fail_MappedNone,trade.commoditySwap.fixedLeg[id=fixedLeg1].calculationPeriodsReference[href=floatingLegCalculationPeriods1].href,trade.commoditySwap.fixedLeg[id=fixedLeg1].calculationPeriodsReference[href=floatingLegCalculationPeriods1].href,0,,Element with value floatingLegCalculationPeriods1 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/record-keeping/products/commodity/Commodity-CFD-Energy-Oil-ex01-Cash.xml,Success,trade.commoditySwap.floatingLeg[id=floatingLeg1].calculationPeriods[id=floatingLegCalculationPeriods1].unadjustedDate(6),trade.commoditySwap.floatingLeg[id=floatingLeg1].calculationPeriods[id=floatingLegCalculationPeriods1].unadjustedDate,1,ReportableEvent.originatingWorkflowStep.proposedEvent.instruction(0).before.value.trade.tradableProduct.product.contractualProduct.economicTerms.payout.commodityPayout(0).calculationPeriodDates.effectiveDate.adjustableDate.unadjustedDate=[2022-03-01],Element mapped to already populated field
cdm-sample-files/fpml-5-10/record-keeping/products/commodity/Commodity-CFD-Energy-Oil-ex01-Cash.xml,Fail_MappedNone,trade.tradeHeader.partyTradeInformation(0).reportingRegime(5).entityClassification[entityClassificationScheme=http://www.fpml.org/coding-scheme/cftc-entity-classification].entityClassificationScheme,trade.tradeHeader.partyTradeInformation.reportingRegime.entityClassification[entityClassificationScheme=http://www.fpml.org/coding-scheme/cftc-entity-classification].entityClassificationScheme,0,,Element with value http://www.fpml.org/coding-scheme/cftc-entity-classification could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/record-keeping/products/commodity/Commodity-CFD-Energy-Oil-ex01-Cash.xml,Success,trade.commoditySwap.floatingLeg[id=floatingLeg1].calculationPeriods[id=floatingLegCalculationPeriods1].unadjustedDate(19),trade.commoditySwap.floatingLeg[id=floatingLeg1].calculationPeriods[id=floatingLegCalculationPeriods1].unadjustedDate,1,ReportableEvent.originatingWorkflowStep.proposedEvent.instruction(0).before.value.trade.tradableProduct.product.contractualProduct.economicTerms.payout.commodityPayout(0).calculationPeriodDates.effectiveDate.adjustableDate.unadjustedDate=[2022-03-01],Element mapped to already populated field
cdm-sample-files/fpml-5-10/record-keeping/products/commodity/Commodity-CFD-Energy-Oil-ex01-Cash.xml,Fail_MappedMultiple,trade.tradeHeader.partyTradeInformation(1).reportingRegime(2).entityClassification[entityClassificationScheme=http://www.fpml.org/coding-scheme/esma-entity-classification],trade.tradeHeader.partyTradeInformation.reportingRegime.entityClassification[entityClassificationScheme=http://www.fpml.org/coding-scheme/esma-entity-classification],3,ReportableEvent.reportableInformation.partyInformation(1).regimeInformation(3).fcaPartyInformation.natureOfParty=[Financial] ReportableEvent.reportableInformation.partyInformation(1).regimeInformation(3).esmaPartyInformation.natureOfParty=[Financial] ReportableEvent.reportableInformation.partyInformation(1).regimeInformation(3).hkmaPartyInformation.natureOfParty=[Financial],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/record-keeping/products/commodity/Commodity-CFD-Energy-Oil-ex01-Cash.xml,Success,trade.commoditySwap.floatingLeg[id=floatingLeg1].calculationPeriods[id=floatingLegCalculationPeriods1].unadjustedDate(2),trade.commoditySwap.floatingLeg[id=floatingLeg1].calculationPeriods[id=floatingLegCalculationPeriods1].unadjustedDate,1,ReportableEvent.originatingWorkflowStep.proposedEvent.instruction(0).before.value.trade.tradableProduct.product.contractualProduct.economicTerms.payout.commodityPayout(0).calculationPeriodDates.effectiveDate.adjustableDate.unadjustedDate=[2022-03-01],Element mapped to already populated field
