File Name,Result,Input Path,Indexless Input Path,Unmappable CDM Path Count,Unmappable CDM Paths,Reason For Failure
cdm-sample-files/fpml-5-10/record-keeping/products/exotic/Commodity-Exotic-AGrains-OilSeeds-ex01-New.xml,Fail_MappedNone,trade.genericProduct.settlementCurrency(2),trade.genericProduct.settlementCurrency,0,,Element with value USD could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/record-keeping/products/exotic/Commodity-Exotic-AGrains-OilSeeds-ex01-New.xml,Fail_MappedNone,party(1)[id=PartyB].region,party[id=PartyB].region,0,,Element with value nonEEA could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/record-keeping/products/exotic/Commodity-Exotic-AGrains-OilSeeds-ex01-New.xml,Fail_MappedNone,trade.tradeHeader.partyTradeInformation(1).verificationMethod,trade.tradeHeader.partyTradeInformation.verificationMethod,0,,Element with value Electronic could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/record-keeping/products/exotic/Commodity-Exotic-AGrains-OilSeeds-ex01-New.xml,Fail_MappedMultiple,trade.tradeHeader.partyTradeInformation(1).reportingRegime(2).exceedsClearingThreshold,trade.tradeHeader.partyTradeInformation.reportingRegime.exceedsClearingThreshold,2,ReportableEvent.reportableInformation.partyInformation(1).regimeInformation(3).fcaPartyInformation.exceedsClearingThreshold=[true] ReportableEvent.reportableInformation.partyInformation(1).regimeInformation(3).esmaPartyInformation.exceedsClearingThreshold=[true],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/record-keeping/products/exotic/Commodity-Exotic-AGrains-OilSeeds-ex01-New.xml,Success,trade.genericProduct.notional(2).currency,trade.genericProduct.notional.currency,1,ReportableEvent.originatingWorkflowStep.proposedEvent.instruction(0).before.value.trade.tradableProduct.tradeLot(1).priceQuantity(0).quantity(5).value.unit.currency.value=[USD],Element mapped to already populated field
cdm-sample-files/fpml-5-10/record-keeping/products/exotic/Commodity-Exotic-AGrains-OilSeeds-ex01-New.xml,Fail_MappedMultiple,trade.tradeHeader.partyTradeInformation(1).reportingRegime(1).entityClassification[entityClassificationScheme=http://www.fpml.org/coding-scheme/esma-entity-classification],trade.tradeHeader.partyTradeInformation.reportingRegime.entityClassification[entityClassificationScheme=http://www.fpml.org/coding-scheme/esma-entity-classification],3,ReportableEvent.reportableInformation.partyInformation(1).regimeInformation(2).esmaPartyInformation.natureOfParty=[Financial] ReportableEvent.reportableInformation.partyInformation(1).regimeInformation(2).hkmaPartyInformation.natureOfParty=[Financial] ReportableEvent.reportableInformation.partyInformation(1).regimeInformation(2).fcaPartyInformation.natureOfParty=[Financial],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/record-keeping/products/exotic/Commodity-Exotic-AGrains-OilSeeds-ex01-New.xml,Fail_MappedNone,trade.genericProduct.sellerPartyReference[href=PartyA].href,trade.genericProduct.sellerPartyReference[href=PartyA].href,0,,Element with value PartyA could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/record-keeping/products/exotic/Commodity-Exotic-AGrains-OilSeeds-ex01-New.xml,Fail_MappedNone,trade.tradeHeader.partyTradeInformation(1).reportingRegime(0).reportingPurpose,trade.tradeHeader.partyTradeInformation.reportingRegime.reportingPurpose,0,,Element with value Snapshot could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/record-keeping/products/exotic/Commodity-Exotic-AGrains-OilSeeds-ex01-New.xml,Fail_MappedNone,trade.genericProduct.premium.payerPartyReference[href=PartyB].href,trade.genericProduct.premium.payerPartyReference[href=PartyB].href,0,,Element with value PartyB could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/record-keeping/products/exotic/Commodity-Exotic-AGrains-OilSeeds-ex01-New.xml,Fail_MappedNone,party(1)[id=PartyB].classification(0)[industryClassificationScheme=http://www.fpml.org/coding-scheme/esma-emir-refit-regulatory-corporate-sector].industryClassificationScheme,party[id=PartyB].classification[industryClassificationScheme=http://www.fpml.org/coding-scheme/esma-emir-refit-regulatory-corporate-sector].industryClassificationScheme,0,,Element with value http://www.fpml.org/coding-scheme/esma-emir-refit-regulatory-corporate-sector could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/record-keeping/products/exotic/Commodity-Exotic-AGrains-OilSeeds-ex01-New.xml,Fail_MappedNone,trade.genericProduct.underlyer(0).commodity.commodityBase,trade.genericProduct.underlyer.commodity.commodityBase,0,,Element with value Agricultural could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/record-keeping/products/exotic/Commodity-Exotic-AGrains-OilSeeds-ex01-New.xml,Fail_MappedNone,trade.genericProduct.settlementCurrency(1),trade.genericProduct.settlementCurrency,0,,Element with value USD could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/record-keeping/products/exotic/Commodity-Exotic-AGrains-OilSeeds-ex01-New.xml,Fail_MappedNone,trade.genericProduct.premium.paymentAmount.currency[currencyScheme=http://www.fpml.org/ext/iso4217],trade.genericProduct.premium.paymentAmount.currency[currencyScheme=http://www.fpml.org/ext/iso4217],0,,Element with value USD could not be mapped to a rosettaField
